the_geom,cartodb_id,orderid,alias,details,name
,56,56,"White Unemployed Population 65+ Years; Margin of Error",,whi65ue_me
,57,57,White Population 65+ Years Not in the Labor Force,,whi65nlf
,58,58,"White Population 65+ Years Not in the Labor Force; Margin of Error",,whi65nlfm
,59,59,% White Labor Force,,whilf_p
,60,60,"% White Labor Force; Margin of Error",,whilfmep
,61,61,% White Civilian Labor Force,,whiclf_p
,62,62,"% White Civilian Labor Force; Margin of Error",,whiclfmep
,63,63,% White Employed Population,,whiemp_p
,64,64,"% White Employed Population; Margin of Error",,whiempmep
,65,65,% White Unemployed Population,,whiue_p
,66,66,"% White Unemployed Population; Margin of Error",,whiuemep
,67,67,% White Armed Forces Population,,whiaf_p
,68,68,"% White Armed Forces Population; Margin of Error",,whiafmep
,69,69,% White Population Not in the Labor Force,,whinlf_p
,70,70,"% White Population Not in the Labor Force; Margin of Error",,whinlfmep
,71,71,% White Population 16-64 Years,,whi64_p
,72,72,"% White Population 16-64 Years; Margin of Error",,whi64mep
,73,73,% White 16-64 Years in Labor Force,,whi64lf_p
,74,74,"% White 16-64 Years in Labor Force; Margin of Error",,whi64lfmep
,75,75,% White 16-64 Years Civilian Labor Force,,whi64clf_p
,76,76,"% White 16-64 Years Civilian Labor Force; Margin of Error",,whi64clfmp
,77,77,% White Employed Population 16-64 Years,,whi1664_p
,78,78,"% White Employed Population 16-64 Years; Margin of Error",,whi1664mep
,79,79,% White Unemployed Population 16-64 Years,,whi64ue_p
,80,80,"% White Unemployed Population 16-64 Years; Margin of Error",,whi64uemep
,81,81,% White Armed Forces Population 16-64 Years,,whi64af_p
,82,82,"% White Armed Forces Population 16-64 Years; Margin of Error",,whi64afmep
,83,83,% White Population 16-64 Years Not in the Labor Force,,whi64nlf_p
,84,84,"% White Population 16-64 Years Not in the Labor Force; Margin of Error",,whi64nlfmp
,85,85,% White Population 65+ Years,,whi65_p
,86,86,"% White Population 65+ Years; Margin of Error",,whi65mep
,87,87,% White 65+ Years in Labor Force,,whi65lf_p
,88,88,"% White 65+ Years in Labor Force; Margin of Error",,whi65lfmep
,89,89,% White Employed Population 65+ Years,,whi65e_p
,90,90,"% White Employed Population 65+ Years; Margin of Error",,whi65e_mep
,91,91,% White Unemployed Population 65+ Years,,whi65ue_p
,92,92,"% White Unemployed Population 65+ Years; Margin of Error",,whi65uemep
,93,93,% White Population 65+ Years Not in the Labor Force,,whi65nlf_p
,94,94,"% White Population 65+ Years Not in the Labor Force; Margin of Error",,whi65nlfmp
,95,95,Black population 16 years and over,,aa16
,96,96,"Black population 16 years and over; Margin of Error",,aa16_me
,97,97,Black Labor Force,,aalf
,98,98,"Black Labor Force; Margin of Error",,aalfme
,99,99,Black Civilian Labor Force,,aaclf
,100,100,"Black Civilian Labor Force; Margin of Error",,aaclfme
,101,101,Black Employed Population,,aaemp
,102,102,"Black Employed Population; Margin of Error",,aaempme
,103,103,Black Unemployed Population,,aaue
,104,104,"Black Unemployed Population; Margin of Error",,aaueme
,105,105,Black Armed Forces Population,,aaaf
,106,106,"Black Armed Forces Population; Margin of Error",,aaafme
,107,107,Black Population Not in the Labor Force,,aanlf
,108,108,"Black Population Not in the Labor Force; Margin of Error",,aanlfme
,109,109,Black Population 16-64 Years,,aa1664
,110,110,"Black Population 16-64 Years; Margin of Error",,aa1664me
,111,111,Black 16-64 Years in Labor Force,,aa64lf
,112,112,"Black 16-64 Years in Labor Force; Margin of Error",,aa64lfme
,113,113,Black 16-64 Years Civilian Labor Force,,aa64clf
,114,114,"Black 16-64 Years Civilian Labor Force; Margin of Error",,aa64clfm
,115,115,Black Employed Population 16-64 Years,,aa64e
,116,116,"Black Employed Population 16-64 Years; Margin of Error",,aa64e_me
,117,117,Black Unemployed Population 16-64 Years,,aa64ue
,118,118,"Black Unemployed Population 16-64 Years; Margin of Error",,aa64ueme
,119,119,Black Armed Forces Population 16-64 Years,,aa64af
,120,120,"Black Armed Forces Population 16-64 Years; Margin of Error",,aa64afme
,121,121,Black Population 16-64 Years Not in the Labor Force,,aa64nlf
,122,122,"Black Population 16-64 Years Not in the Labor Force; Margin of Error",,aa64nlfm
,123,123,Black Population 65+ Years,,aa65o
,124,124,"Black Population 65+ Years; Margin of Error",,aa65ome
,125,125,Black 65+ Years in Labor Force,,aa65lf
,126,126,"Black 65+ Years in Labor Force; Margin of Error",,aa65lfme
,127,127,Black Employed Population 65+ Years,,aa65e
,128,128,"Black Employed Population 65+ Years; Margin of Error",,aa65e_me
,129,129,Black Unemployed Population 65+ Years,,aa65ue
,130,130,"Black Unemployed Population 65+ Years; Margin of Error",,aa65ue_me
,131,131,Black Population 65+ Years Not in the Labor Force,,aa65nlf
,132,132,"Black Population 65+ Years Not in the Labor Force; Margin of Error",,aa65nlfm
,133,133,% Black Labor Force,,aalf_p
,134,134,"% Black Labor Force; Margin of Error",,aalfmep
,135,135,% Black Civilian Labor Force,,aaclf_p
,136,136,"% Black Civilian Labor Force; Margin of Error",,aaclfmep
,137,137,% Black Employed Population,,aaemp_p
,138,138,"% Black Employed Population; Margin of Error",,aaempmep
,139,139,% Black Unemployed Population,,aaue_p
,140,140,"% Black Unemployed Population; Margin of Error",,aauemep
,141,141,% Black Armed Forces Population,,aaaf_p
,142,142,"% Black Armed Forces Population; Margin of Error",,aaafmep
,143,143,% Black Population Not in the Labor Force,,aanlf_p
,144,144,"% Black Population Not in the Labor Force; Margin of Error",,aanlfmep
,145,145,% Black Population 16-64 Years,,aa64_p
,146,146,"% Black Population 16-64 Years; Margin of Error",,aa64mep
,147,147,% Black 16-64 Years in Labor Force,,aa64lf_p
,148,148,"% Black 16-64 Years in Labor Force; Margin of Error",,aa64lfmep
,149,149,% Black 16-64 Years Civilian Labor Force,,aa64clf_p
,150,150,"% Black 16-64 Years Civilian Labor Force; Margin of Error",,aa64clfmp
,151,151,% Black Employed Population 16-64 Years,,aa1664_p
,152,152,"% Black Employed Population 16-64 Years; Margin of Error",,aa1664mep
,153,153,% Black Unemployed Population 16-64 Years,,aa64ue_p
,154,154,"% Black Unemployed Population 16-64 Years; Margin of Error",,aa64uemep
,155,155,% Black Armed Forces Population 16-64 Years,,aa64af_p
,156,156,"% Black Armed Forces Population 16-64 Years; Margin of Error",,aa64afmep
,157,157,% Black Population 16-64 Years Not in the Labor Force,,aa64nlf_p
,158,158,"% Black Population 16-64 Years Not in the Labor Force; Margin of Error",,aa64nlfmp
,159,159,% Black Population 65+ Years,,aa65_p
,160,160,"% Black Population 65+ Years; Margin of Error",,aa65mep
,161,161,% Black 65+ Years in Labor Force,,aa65lf_p
,162,162,"% Black 65+ Years in Labor Force; Margin of Error",,aa65lfmep
,163,163,% Black Employed Population 65+ Years,,aa65e_p
,164,164,"% Black Employed Population 65+ Years; Margin of Error",,aa65e_mep
,165,165,% Black Unemployed Population 65+ Years,,aa65ue_p
,166,166,"% Black Unemployed Population 65+ Years; Margin of Error",,aa65uemep
,167,167,% Black Population 65+ Years Not in the Labor Force,,aa65nlf_p
,168,168,"% Black Population 65+ Years Not in the Labor Force; Margin of Error",,aa65nlfmp
,169,169,American Indian population 16 years and over,,na16
,170,170,"American Indian population 16 years and over; Margin of Error",,na16_me
,171,171,American Indian Labor Force,,nalf
,172,172,"American Indian Labor Force; Margin of Error",,nalfme
,173,173,American Indian Civilian Labor Force,,naclf
,174,174,"American Indian Civilian Labor Force; Margin of Error",,naclfme
,175,175,American Indian Employed Population,,naemp
,176,176,"American Indian Employed Population; Margin of Error",,naempme
,177,177,American Indian Unemployed Population,,naue
,178,178,"American Indian Unemployed Population; Margin of Error",,naueme
,179,179,American Indian Armed Forces Population,,naaf
,180,180,"American Indian Armed Forces Population; Margin of Error",,naafme
,181,181,American Indian Population Not in the Labor Force,,nanlf
,182,182,"American Indian Population Not in the Labor Force; Margin of Error",,nanlfme
,183,183,American Indian Population 16-64 Years,,na1664
,184,184,"American Indian Population 16-64 Years; Margin of Error",,na1664me
,185,185,American Indian 16-64 Years in Labor Force,,na64lf
,186,186,"American Indian 16-64 Years in Labor Force; Margin of Error",,na64lfme
,187,187,American Indian 16-64 Years Civilian Labor Force,,na64clf
,188,188,"American Indian 16-64 Years Civilian Labor Force; Margin of Error",,na64clfm
,189,189,American Indian Employed Population 16-64 Years,,na64e
,190,190,"American Indian Employed Population 16-64 Years; Margin of Error",,na64e_me
,191,191,American Indian Unemployed Population 16-64 Years,,na64ue
,192,192,"American Indian Unemployed Population 16-64 Years; Margin of Error",,na64ueme
,193,193,American Indian Armed Forces Population 16-64 Years,,na64af
,194,194,"American Indian Armed Forces Population 16-64 Years; Margin of Error",,na64afme
,195,195,American Indian Population 16-64 Years Not in the Labor Force,,na64nlf
,196,196,"American Indian Population 16-64 Years Not in the Labor Force; Margin of Error",,na64nlfm
,197,197,American Indian Population 65+ Years,,na65o
,198,198,"American Indian Population 65+ Years; Margin of Error",,na65ome
,199,199,American Indian 65+ Years in Labor Force,,na65lf
,200,200,"American Indian 65+ Years in Labor Force; Margin of Error",,na65lfme
,201,201,American Indian Employed Population 65+ Years,,na65e
,202,202,"American Indian Employed Population 65+ Years; Margin of Error",,na65e_me
,203,203,American Indian Unemployed Population 65+ Years,,na65ue
,204,204,"American Indian Unemployed Population 65+ Years; Margin of Error",,na65ue_me
,205,205,American Indian Population 65+ Years Not in the Labor Force,,na65nlf
,206,206,"American Indian Population 65+ Years Not in the Labor Force; Margin of Error",,na65nlfm
,207,207,% American Indian Labor Force,,nalf_p
,208,208,"% American Indian Labor Force; Margin of Error",,nalfmep
,209,209,% American Indian Civilian Labor Force,,naclf_p
,210,210,"% American Indian Civilian Labor Force; Margin of Error",,naclfmep
,211,211,% American Indian Employed Population,,naemp_p
,212,212,"% American Indian Employed Population; Margin of Error",,naempmep
,213,213,% American Indian Unemployed Population,,naue_p
,214,214,"% American Indian Unemployed Population; Margin of Error",,nauemep
,215,215,% American Indian Armed Forces Population,,naaf_p
,216,216,"% American Indian Armed Forces Population; Margin of Error",,naafmep
,217,217,% American Indian Population Not in the Labor Force,,nanlf_p
,218,218,"% American Indian Population Not in the Labor Force; Margin of Error",,nanlfmep
,219,219,% American Indian Population 16-64 Years,,na64_p
,220,220,"% American Indian Population 16-64 Years; Margin of Error",,na64mep
,221,221,% American Indian 16-64 Years in Labor Force,,na64lf_p
,222,222,"% American Indian 16-64 Years in Labor Force; Margin of Error",,na64lfmep
,223,223,% American Indian 16-64 Years Civilian Labor Force,,na64clf_p
,224,224,"% American Indian 16-64 Years Civilian Labor Force; Margin of Error",,na64clfmp
,225,225,% American Indian Employed Population 16-64 Years,,na1664_p
,226,226,"% American Indian Employed Population 16-64 Years; Margin of Error",,na1664mep
,227,227,% American Indian Unemployed Population 16-64 Years,,na64ue_p
,228,228,"% American Indian Unemployed Population 16-64 Years; Margin of Error",,na64uemep
,229,229,% American Indian Armed Forces Population 16-64 Years,,na64af_p
,230,230,"% American Indian Armed Forces Population 16-64 Years; Margin of Error",,na64afmep
,231,231,% American Indian Population 16-64 Years Not in the Labor Force,,na64nlf_p
,232,232,"% American Indian Population 16-64 Years Not in the Labor Force; Margin of Error",,na64nlfmp
,233,233,% American Indian Population 65+ Years,,na65_p
,234,234,"% American Indian Population 65+ Years; Margin of Error",,na65mep
,235,235,% American Indian 65+ Years in Labor Force,,na65lf_p
,236,236,"% American Indian 65+ Years in Labor Force; Margin of Error",,na65lfmep
,237,237,% American Indian Employed Population 65+ Years,,na65e_p
,238,238,"% American Indian Employed Population 65+ Years; Margin of Error",,na65e_mep
,239,239,% American Indian Unemployed Population 65+ Years,,na65ue_p
,240,240,"% American Indian Unemployed Population 65+ Years; Margin of Error",,na65uemep
,241,241,% American Indian Population 65+ Years Not in the Labor Force,,na65nlf_p
,242,242,"% American Indian Population 65+ Years Not in the Labor Force; Margin of Error",,na65nlfmp
,243,243,Asian population 16 years and over,,as16
,244,244,"Asian population 16 years and over; Margin of Error",,as16_me
,245,245,Asian Labor Force,,aslf
,246,246,"Asian Labor Force; Margin of Error",,aslfme
,247,247,Asian Civilian Labor Force,,asclf
,248,248,"Asian Civilian Labor Force; Margin of Error",,asclfme
,249,249,Asian Employed Population,,asemp
,250,250,"Asian Employed Population; Margin of Error",,asempme
,251,251,Asian Unemployed Population,,asue
,252,252,"Asian Unemployed Population; Margin of Error",,asueme
,253,253,Asian Armed Forces Population,,asaf
,254,254,"Asian Armed Forces Population; Margin of Error",,asafme
,255,255,Asian Population Not in the Labor Force,,asnlf
,256,256,"Asian Population Not in the Labor Force; Margin of Error",,asnlfme
,257,257,Asian Population 16-64 Years,,as1664
,258,258,"Asian Population 16-64 Years; Margin of Error",,as1664me
,259,259,Asian 16-64 Years in Labor Force,,as64lf
,260,260,"Asian 16-64 Years in Labor Force; Margin of Error",,as64lfme
,261,261,Asian 16-64 Years Civilian Labor Force,,as64clf
,262,262,"Asian 16-64 Years Civilian Labor Force; Margin of Error",,as64clfm
,263,263,Asian Employed Population 16-64 Years,,as64e
,264,264,"Asian Employed Population 16-64 Years; Margin of Error",,as64e_me
,265,265,Asian Unemployed Population 16-64 Years,,as64ue
,266,266,"Asian Unemployed Population 16-64 Years; Margin of Error",,as64ueme
,267,267,Asian Armed Forces Population 16-64 Years,,as64af
,268,268,"Asian Armed Forces Population 16-64 Years; Margin of Error",,as64afme
,269,269,Asian Population 16-64 Years Not in the Labor Force,,as64nlf
,270,270,"Asian Population 16-64 Years Not in the Labor Force; Margin of Error",,as64nlfm
,271,271,Asian Population 65+ Years,,as65o
,272,272,"Asian Population 65+ Years; Margin of Error",,as65ome
,273,273,Asian 65+ Years in Labor Force,,as65lf
,274,274,"Asian 65+ Years in Labor Force; Margin of Error",,as65lfme
,275,275,Asian Employed Population 65+ Years,,as65e
,276,276,"Asian Employed Population 65+ Years; Margin of Error",,as65e_me
,277,277,Asian Unemployed Population 65+ Years,,as65ue
,278,278,"Asian Unemployed Population 65+ Years; Margin of Error",,as65ue_me
,279,279,Asian Population 65+ Years Not in the Labor Force,,as65nlf
,280,280,"Asian Population 65+ Years Not in the Labor Force; Margin of Error",,as65nlfm
,281,281,% Asian Labor Force,,aslf_p
,282,282,"% Asian Labor Force; Margin of Error",,aslfmep
,283,283,% Asian Civilian Labor Force,,asclf_p
,284,284,"% Asian Civilian Labor Force; Margin of Error",,asclfmep
,285,285,% Asian Employed Population,,asemp_p
,286,286,"% Asian Employed Population; Margin of Error",,asempmep
,287,287,% Asian Unemployed Population,,asue_p
,288,288,"% Asian Unemployed Population; Margin of Error",,asuemep
,289,289,% Asian Armed Forces Population,,asaf_p
,290,290,"% Asian Armed Forces Population; Margin of Error",,asafmep
,291,291,% Asian Population Not in the Labor Force,,asnlf_p
,292,292,"% Asian Population Not in the Labor Force; Margin of Error",,asnlfmep
,293,293,% Asian Population 16-64 Years,,as64_p
,294,294,"% Asian Population 16-64 Years; Margin of Error",,as64mep
,295,295,% Asian 16-64 Years in Labor Force,,as64lf_p
,296,296,"% Asian 16-64 Years in Labor Force; Margin of Error",,as64lfmep
,297,297,% Asian 16-64 Years Civilian Labor Force,,as64clf_p
,298,298,"% Asian 16-64 Years Civilian Labor Force; Margin of Error",,as64clfmp
,299,299,% Asian Employed Population 16-64 Years,,as1664_p
,300,300,"% Asian Employed Population 16-64 Years; Margin of Error",,as1664mep
,301,301,% Asian Unemployed Population 16-64 Years,,as64ue_p
,302,302,"% Asian Unemployed Population 16-64 Years; Margin of Error",,as64uemep
,303,303,% Asian Armed Forces Population 16-64 Years,,as64af_p
,304,304,"% Asian Armed Forces Population 16-64 Years; Margin of Error",,as64afmep
,305,305,% Asian Population 16-64 Years Not in the Labor Force,,as64nlf_p
,306,306,"% Asian Population 16-64 Years Not in the Labor Force; Margin of Error",,as64nlfmp
,307,307,% Asian Population 65+ Years,,as65_p
,308,308,"% Asian Population 65+ Years; Margin of Error",,as65mep
,309,309,% Asian 65+ Years in Labor Force,,as65lf_p
,310,310,"% Asian 65+ Years in Labor Force; Margin of Error",,as65lfmep
,311,311,% Asian Employed Population 65+ Years,,as65e_p
,312,312,"% Asian Employed Population 65+ Years; Margin of Error",,as65e_mep
,313,313,% Asian Unemployed Population 65+ Years,,as65ue_p
,314,314,"% Asian Unemployed Population 65+ Years; Margin of Error",,as65uemep
,315,315,% Asian Population 65+ Years Not in the Labor Force,,as65nlf_p
,316,316,"% Asian Population 65+ Years Not in the Labor Force; Margin of Error",,as65nlfmp
,317,317,Pacific Islander population 16 years and over,,pi16
,318,318,"Pacific Islander population 16 years and over; Margin of Error",,pi16_me
,319,319,Pacific Islander Labor Force,,pilf
,320,320,"Pacific Islander Labor Force; Margin of Error",,pilfme
,321,321,Pacific Islander Civilian Labor Force,,piclf
,322,322,"Pacific Islander Civilian Labor Force; Margin of Error",,piclfme
,323,323,Pacific Islander Employed Population,,piemp
,324,324,"Pacific Islander Employed Population; Margin of Error",,piempme
,325,325,Pacific Islander Unemployed Population,,piue
,326,326,"Pacific Islander Unemployed Population; Margin of Error",,piueme
,327,327,Pacific Islander Armed Forces Population,,piaf
,328,328,"Pacific Islander Armed Forces Population; Margin of Error",,piafme
,329,329,Pacific Islander Population Not in the Labor Force,,pinlf
,330,330,"Pacific Islander Population Not in the Labor Force; Margin of Error",,pinlfme
,331,331,Pacific Islander Population 16-64 Years,,pi1664
,332,332,"Pacific Islander Population 16-64 Years; Margin of Error",,pi1664me
,333,333,Pacific Islander 16-64 Years in Labor Force,,pi64lf
,334,334,"Pacific Islander 16-64 Years in Labor Force; Margin of Error",,pi64lfme
,335,335,Pacific Islander 16-64 Years Civilian Labor Force,,pi64clf
,336,336,"Pacific Islander 16-64 Years Civilian Labor Force; Margin of Error",,pi64clfm
,337,337,Pacific Islander Employed Population 16-64 Years,,pi64e
,338,338,"Pacific Islander Employed Population 16-64 Years; Margin of Error",,pi64e_me
,339,339,Pacific Islander Unemployed Population 16-64 Years,,pi64ue
,340,340,"Pacific Islander Unemployed Population 16-64 Years; Margin of Error",,pi64ueme
,341,341,Pacific Islander Armed Forces Population 16-64 Years,,pi64af
,342,342,"Pacific Islander Armed Forces Population 16-64 Years; Margin of Error",,pi64afme
,343,343,Pacific Islander Population 16-64 Years Not in the Labor Force,,pi64nlf
,344,344,"Pacific Islander Population 16-64 Years Not in the Labor Force; Margin of Error",,pi64nlfm
,345,345,Pacific Islander Population 65+ Years,,pi65o
,346,346,"Pacific Islander Population 65+ Years; Margin of Error",,pi65ome
,347,347,Pacific Islander 65+ Years in Labor Force,,pi65lf
,348,348,"Pacific Islander 65+ Years in Labor Force; Margin of Error",,pi65lfme
,349,349,Pacific Islander Employed Population 65+ Years,,pi65e
,350,350,"Pacific Islander Employed Population 65+ Years; Margin of Error",,pi65e_me
,351,351,Pacific Islander Unemployed Population 65+ Years,,pi65ue
,352,352,"Pacific Islander Unemployed Population 65+ Years; Margin of Error",,pi65ue_me
,353,353,Pacific Islander Population 65+ Years Not in the Labor Force,,pi65nlf
,354,354,"Pacific Islander Population 65+ Years Not in the Labor Force; Margin of Error",,pi65nlfm
,355,355,% Pacific Islander Labor Force,,pilf_p
,356,356,"% Pacific Islander Labor Force; Margin of Error",,pilfmep
,357,357,% Pacific Islander Civilian Labor Force,,piclf_p
,358,358,"% Pacific Islander Civilian Labor Force; Margin of Error",,piclfmep
,359,359,% Pacific Islander Employed Population,,piemp_p
,360,360,"% Pacific Islander Employed Population; Margin of Error",,piempmep
,361,361,% Pacific Islander Unemployed Population,,piue_p
,362,362,"% Pacific Islander Unemployed Population; Margin of Error",,piuemep
,363,363,% Pacific Islander Armed Forces Population,,piaf_p
,364,364,"% Pacific Islander Armed Forces Population; Margin of Error",,piafmep
,365,365,% Pacific Islander Population Not in the Labor Force,,pinlf_p
,366,366,"% Pacific Islander Population Not in the Labor Force; Margin of Error",,pinlfmep
,367,367,% Pacific Islander Population 16-64 Years,,pi64_p
,368,368,"% Pacific Islander Population 16-64 Years; Margin of Error",,pi64mep
,369,369,% Pacific Islander 16-64 Years in Labor Force,,pi64lf_p
,370,370,"% Pacific Islander 16-64 Years in Labor Force; Margin of Error",,pi64lfmep
,371,371,% Pacific Islander 16-64 Years Civilian Labor Force,,pi64clf_p
,372,372,"% Pacific Islander 16-64 Years Civilian Labor Force; Margin of Error",,pi64clfmp
,373,373,% Pacific Islander Employed Population 16-64 Years,,pi1664_p
,374,374,"% Pacific Islander Employed Population 16-64 Years; Margin of Error",,pi1664mep
,375,375,% Pacific Islander Unemployed Population 16-64 Years,,pi64ue_p
,376,376,"% Pacific Islander Unemployed Population 16-64 Years; Margin of Error",,pi64uemep
,377,377,% Pacific Islander Armed Forces Population 16-64 Years,,pi64af_p
,378,378,"% Pacific Islander Armed Forces Population 16-64 Years; Margin of Error",,pi64afmep
,379,379,% Pacific Islander Population 16-64 Years Not in the Labor Force,,pi64nlf_p
,380,380,"% Pacific Islander Population 16-64 Years Not in the Labor Force; Margin of Error",,pi64nlfmp
,381,381,% Pacific Islander Population 65+ Years,,pi65_p
,382,382,"% Pacific Islander Population 65+ Years; Margin of Error",,pi65mep
,383,383,% Pacific Islander 65+ Years in Labor Force,,pi65lf_p
,384,384,"% Pacific Islander 65+ Years in Labor Force; Margin of Error",,pi65lfmep
,385,385,% Pacific Islander Employed Population 65+ Years,,pi65e_p
,386,386,"% Pacific Islander Employed Population 65+ Years; Margin of Error",,pi65e_mep
,387,387,% Pacific Islander Unemployed Population 65+ Years,,pi65ue_p
,388,388,"% Pacific Islander Unemployed Population 65+ Years; Margin of Error",,pi65uemep
,389,389,% Pacific Islander Population 65+ Years Not in the Labor Force,,pi65nlf_p
,390,390,"% Pacific Islander Population 65+ Years Not in the Labor Force; Margin of Error",,pi65nlfmp
,391,391,Other Race population 16 years and over,,oth16
,392,392,"Other Race population 16 years and over; Margin of Error",,oth16_me
,393,393,Other Race Labor Force,,othlf
,394,394,"Other Race Labor Force; Margin of Error",,othlfme
,395,395,Other Race Civilian Labor Force,,othclf
,396,396,"Other Race Civilian Labor Force; Margin of Error",,othclfme
,397,397,Other Race Employed Population,,othemp
,398,398,"Other Race Employed Population; Margin of Error",,othempme
,399,399,Other Race Unemployed Population,,othue
,400,400,"Other Race Unemployed Population; Margin of Error",,othueme
,401,401,Other Race Armed Forces Population,,othaf
,402,402,"Other Race Armed Forces Population; Margin of Error",,othafme
,403,403,Other Race Population Not in the Labor Force,,othnlf
,404,404,"Other Race Population Not in the Labor Force; Margin of Error",,othnlfme
,405,405,Other Race Population 16-64 Years,,oth1664
,406,406,"Other Race Population 16-64 Years; Margin of Error",,oth1664me
,407,407,Other Race 16-64 Years in Labor Force,,oth64lf
,408,408,"Other Race 16-64 Years in Labor Force; Margin of Error",,oth64lfme
,409,409,Other Race 16-64 Years Civilian Labor Force,,oth64clf
,410,410,"Other Race 16-64 Years Civilian Labor Force; Margin of Error",,oth64clfm
,411,411,Other Race Employed Population 16-64 Years,,oth64e
,412,412,"Other Race Employed Population 16-64 Years; Margin of Error",,oth64e_me
,413,413,Other Race Unemployed Population 16-64 Years,,oth64ue
,414,414,"Other Race Unemployed Population 16-64 Years; Margin of Error",,oth64ueme
,415,415,Other Race Armed Forces Population 16-64 Years,,oth64af
,416,416,"Other Race Armed Forces Population 16-64 Years; Margin of Error",,oth64afme
,417,417,Other Race Population 16-64 Years Not in the Labor Force,,oth64nlf
,418,418,"Other Race Population 16-64 Years Not in the Labor Force; Margin of Error",,oth64nlfm
,419,419,Other Race Population 65+ Years,,oth65o
,420,420,"Other Race Population 65+ Years; Margin of Error",,oth65ome
,421,421,Other Race 65+ Years in Labor Force,,oth65lf
,422,422,"Other Race 65+ Years in Labor Force; Margin of Error",,oth65lfme
,423,423,Other Race Employed Population 65+ Years,,oth65e
,424,424,"Other Race Employed Population 65+ Years; Margin of Error",,oth65e_me
,425,425,Other Race Unemployed Population 65+ Years,,oth65ue
,426,426,"Other Race Unemployed Population 65+ Years; Margin of Error",,oth65ue_me
,427,427,Other Race Population 65+ Years Not in the Labor Force,,oth65nlf
,428,428,"Other Race Population 65+ Years Not in the Labor Force; Margin of Error",,oth65nlfm
,429,429,% Other Race Labor Force,,othlf_p
,430,430,"% Other Race Labor Force; Margin of Error",,othlfmep
,431,431,% Other Race Civilian Labor Force,,othclf_p
,432,432,"% Other Race Civilian Labor Force; Margin of Error",,othclfmep
,433,433,% Other Race Employed Population,,othemp_p
,434,434,"% Other Race Employed Population; Margin of Error",,othempmep
,435,435,% Other Race Unemployed Population,,othue_p
,436,436,"% Other Race Unemployed Population; Margin of Error",,othuemep
,437,437,% Other Race Armed Forces Population,,othaf_p
,438,438,"% Other Race Armed Forces Population; Margin of Error",,othafmep
,439,439,% Other Race Population Not in the Labor Force,,othnlf_p
,440,440,"% Other Race Population Not in the Labor Force; Margin of Error",,othnlfmep
